feature,coef,std_err,z,p_value,ci_low,ci_high,converged,quasi_separated
const,-0.0811350855108562,1.77534204371058,-0.04570110069678664,0.9635484864985597,-3.5607415514233276,3.398471380401615,False,False
cvss_score,0.22712230226228414,0.16857475213290926,1.347309127782162,0.17788069356833724,-0.10327814062098467,0.5575227451455529,False,False
cvss_severity_ord,-0.469848425676183,0.3356071404985283,-1.3999953188667134,0.1615147202605821,-1.1276263340077723,0.1879294826554062,False,False
version_bump_ord,0.6799750933184335,0.23241679480395394,2.925671072488543,0.003437141394014978,0.22444654610044784,1.1355036405364192,False,False
has_cve,0.1066288833775346,1.5277406402876124,0.06979514753070956,0.9443567094703691,-2.8876877493043476,3.1009455160594164,False,False
ecosystem_bin,-5.920402750754728,1.075848580524407,-5.503007447264477,3.7336664302657085e-08,-8.029027221401105,-3.81177828010835,False,False
repo_stars,-7.5726017421668036e-06,1.1493748578973323e-05,-0.6588452575011193,0.5099951417714466,-3.009993500431294e-05,1.4954731519979333e-05,False,False
cwe_UNKNOWN,-2.7805114388694845,1.109650216448835,-2.5057548745115676,0.012219029759803431,-4.955385898546277,-0.6056369791926923,False,False
cwe_CWE_89,0.8981512451879723,0.5071242502738653,1.7710674350574604,0.07654948850316086,-0.09579402103568035,1.892096511411625,False,False
cwe_CWE_1333,-2.3596601262790178,1.2854136366902973,-1.835720470769788,0.06639900879034095,-4.879024559428654,0.15970430687061876,False,False
cwe_CWE_400,-1.4130557106731914,0.7606809288450774,-1.8576194789300133,0.06322307037020113,-2.9039629349360188,0.07785151358963605,False,False
cwe_CWE_378,1.327511427425634,1.1922648476347228,1.1134366915700151,0.26552092397310245,-1.0092847339715576,3.664307588822826,False,False
cwe_CWE_200,0.9471033479661929,0.7831131794016164,1.209408004970473,0.2265061347691455,-0.5877702794796295,2.481976975412015,False,False
cwe_CWE_476,-24.47558555232003,635418.3260592758,-3.8518853719741154e-05,0.9999692664013248,-1245421.509778462,1245372.558607357,False,True
cwe_CWE_502,-0.2576763435766576,0.5116220153767869,-0.5036459257659005,0.6145102135807767,-1.2604370674129575,0.7450843802596423,False,False
cwe_CWE_20,-2.0281643177871076,0.8585758480023733,-2.362242453600327,0.018164757992697195,-3.710942057867695,-0.34538657770652015,False,False
cwe_CWE_665,0.731020033413436,0.6620856638384879,1.104116994733425,0.2695423900562681,-0.5666440223902935,2.0286840892171654,False,False
