feature,importance
repo_stars,0.36862901007171694
ecosystem_bin,0.19118332614119193
cvss_score,0.11097581065555906
version_bump_ord,0.0780592751950841
cvss_severity_ord,0.06630310090511554
cwe_CWE_378,0.03601580965390711
cwe_UNKNOWN,0.027740784583325642
cwe_CWE_89,0.027520928542410335
cwe_CWE_20,0.017025717593171865
cwe_CWE_502,0.014637045984435836
cwe_CWE_200,0.014488761011676843
cwe_CWE_1333,0.012413080055036779
cwe_CWE_400,0.011745443827972508
cwe_CWE_476,0.009292554030845756
cwe_CWE_665,0.007891214934936327
has_cve,0.006078136813613494
