model,auc_roc_mean,auc_roc_std,n_folds,n_repeats,n_splits
Logistic Regression,0.6947931224144206,0.07441311656662764,25,5,5
Random Forest,0.7851894607015372,0.06453042759641588,25,5,5
Gradient Boosting,0.7124406498542725,0.09209233611193861,25,5,5
Decision Tree,0.5806804274551431,0.11228642015075913,25,5,5
