model,auc_roc,f1_weighted,precision,recall,accuracy,cv_auc_mean,pr_auc
Logistic Regression,0.8356277533039648,0.9492309109330387,0.0,0.0,0.9659574468085106,0.7712915543575922,0.1742817979349757
Random Forest,0.8144273127753303,0.9763382480920542,0.8,0.5,0.9787234042553191,0.7056603773584905,0.47498791102514504
Gradient Boosting,0.8799559471365639,0.9727003679411294,0.6666666666666666,0.5,0.9744680851063829,0.7242879604672058,0.5432098765432098
Decision Tree,0.8339757709251101,0.9659574468085106,0.5,0.5,0.9659574468085106,0.7223517520215633,0.30504203555808684
