metric,value,ci_low,ci_high,n
full_cohort_naive_rate_NOT_PREVALENCE,0.20434227330779056,0.1775744110370318,0.23399711746374913,783
analyzed_only_prevalence,0.42105263157894735,0.37244317001128124,0.4712423502658331,380
pipeline_coverage_rate,0.48531289910600256,,,783
behavioral_bc_prevalence_NOT_MEASURED,,,,380
