feature,coef,std_err,p_value,ci_low,ci_high
const,-0.1000581701368943,1.7760320139294534,0.9550725120428508,-3.5810169528287625,3.3809006125549743
cvss_score,0.22871511947042725,0.1688076149339482,0.17545379526273908,-0.102141726116217,0.5595719650570715
cvss_severity_ord,-0.4724501821217843,0.33589113260543374,0.15955865147924397,-1.1307847047548019,0.18588434051123331
version_bump_ord,0.6852226136241205,0.23225335699995453,0.003174410208126037,0.23001439861568596,1.140430828632555
has_cve,0.11527274984870643,1.5280309991162755,0.9398656283074712,-2.8796129756799487,3.1101584753773612
ecosystem_bin,-6.027795060638375,1.068913852761182,1.708642328064795e-08,-8.122827714626242,-3.932762406650508
repo_stars,-7.5543642857197e-06,1.1503797262314974e-05,0.5113838625956946,-3.010139260530752e-05,1.499266403386812e-05
cwe_UNKNOWN,-2.7783041365765837,1.1098769070043066,0.012305709086429696,-4.953622901577736,-0.6029853715754316
cwe_CWE_89,0.9049815972970018,0.5078499226142175,0.07475146820046322,-0.09038596057831794,1.9003491551723215
cwe_CWE_1333,-2.3623074031128986,1.2868428423124998,0.0663962887903309,-4.8844730278085535,0.15985822158275687
cwe_CWE_400,-1.4115010197916533,0.7608755900158741,0.06358181406618868,-2.9027897729384304,0.07978773335512379
cwe_CWE_378,1.3208307548762388,1.1925849068413275,0.2680622429728404,-1.0165927110388187,3.6582542207912963
cwe_CWE_200,0.9652708651032388,0.7871807012560519,0.2201091364836676,-0.5775749586836066,2.5081166888900843
cwe_CWE_502,-0.2526846753867011,0.5116171357799124,0.6213809845928443,-1.2554358353888682,0.7500664846154659
cwe_CWE_20,-2.02673039481484,0.8587231317466443,0.018266687064973194,-3.709796805729707,-0.3436639838999733
cwe_CWE_665,0.7362696303176419,0.6621378765151077,0.26615613022558615,-0.5614967604517989,2.0340360210870827
